polygon_id,sw_lng,sw_lat,ne_lng,ne_lat,number_of_observations,number_of_observers,number_of_species
55,-82.39006683224243,28.71553715538899,-82.28066330907332,28.811938130541687,2704,275,889
56,-83.98509826044084,30.156293614244888,-83.87265862924487,30.253956351524497,596,122,347
57,-81.14827413164802,27.8966150315238,-81.04079951126745,27.992057733689116,2750,261,797
58,-85.70187624367934,30.65992048171116,-85.58734879477342,30.75887804226975,309,45,181
59,-82.0802288462678,28.298106933550994,-81.97153654332351,28.394265751967104,3519,259,915
60,-81.45285666931093,27.960138411565534,-81.34505315005488,28.05581613542757,642,209,357
61,-82.37985660291622,27.378500280597606,-82.27185964062507,27.474867376879214,1330,252,533
62,-81.89528357030517,27.372261000901617,-81.78769195938847,27.468272034064505,244,28,170
63,-84.90628200592465,30.394590667282134,-84.79275991043585,30.492951283408363,1289,213,542
64,-83.10844438614531,30.264692301699156,-82.99664658523864,30.36168969638283,126,51,105
65,-84.7523774248778,30.442663626499296,-84.63892444582663,30.540915420172595,184,55,145
66,-82.14678266777156,27.83935101730789,-82.03850935384523,27.935554121962486,1558,245,544
67,-84.69891654649494,30.045225475600148,-84.58600687422715,30.143407817203514,392,117,234
68,-81.78557940158275,28.152986763344856,-81.67729159321026,28.24891978821375,1555,214,633
69,-81.77667294152573,27.679287823770803,-81.66887425776764,27.775212041739245,109,35,78
70,-82.77751196504664,30.47465298224554,-82.66576406726745,30.571396755850525,73,26,58
71,-80.86906623220226,27.2092290916546,-80.76218568769178,27.3047477026708,759,155,376
72,-82.85937656462173,29.746275766362924,-82.74840996225431,29.843062555011844,203,75,157
73,-82.462235287812,27.640888692160175,-82.35390345165911,27.737321401583216,5619,690,1465
74,-83.0693316780577,29.665190738899504,-82.95827363806016,29.762136392686227,115,30,103
75,-80.24660334004494,25.91544620410381,-80.14043372080641,26.011420442404972,8987,1314,1066
76,-80.95783194661666,26.925870235056095,-80.85129637963058,27.02132455675525,13,10,12
77,-80.53367431135513,25.872166124234603,-80.42776957275355,25.967936569253705,286,81,198
78,-82.00840735797536,26.55366770228059,-81.90152139767164,26.64975367805783,3883,1065,807
79,-82.40293303106039,27.102526054562496,-82.2951945439588,27.19890422514426,5941,447,1127
80,-82.1931076184644,30.072219557088548,-82.08236848875363,30.168488836246915,80,21,66
81,-87.08566016797849,30.455903588225105,-86.97030379756075,30.55578917327683,2180,270,698
82,-87.42274436608388,30.7710668951556,-87.30669758468751,30.871219743458276,1023,49,408
83,-81.94322814410432,28.337931901271354,-81.83461233189102,28.43398666630054,566,70,307
84,-86.5729917309675,30.850855444833094,-86.45750154726167,30.950444493533976,183,34,144
85,-83.68946636424586,30.142449746016176,-83.57730050816058,30.239888636622684,108,33,92
86,-87.20468021620603,30.899028816740106,-87.0886248275306,30.999054130108444,150,28,127
87,-80.3756219465688,26.876479686782208,-80.26865028707192,26.972367018356078,3088,208,689
88,-81.32119520261085,28.335090431580245,-81.21312696926654,28.430663748529465,2401,675,764
89,-82.22392876598927,26.989647143831576,-82.11644648990239,27.085894164720084,3280,468,918
90,-81.76193230361554,29.096547128523227,-81.65267158506884,29.192465311455702,1765,434,635
91,-81.05935031166482,27.04587068085214,-80.95273667718581,27.141256042991877,50,13,44
92,-82.26954480661453,29.744606548665214,-82.15910933100824,29.84093192580929,2307,421,955
93,-82.95487853056723,30.357951754786207,-82.8431080572678,30.454832162245072,434,171,265
94,-81.61421180647159,27.168596927169062,-81.50705430492783,27.264398266596913,84,43,65
95,-81.53632531387332,26.24650351441578,-81.4301060974948,26.34224799082262,5876,158,917
96,-82.33397156542503,30.372523096343514,-82.2227539294341,30.468910025537117,109,53,91
97,-83.27389227488463,30.045578856317515,-83.16220788803608,30.14269590538771,485,99,307
98,-82.25720467034608,27.826727833662886,-82.14885177478364,27.92301295153377,7561,727,1164
99,-84.93978217281976,30.281563576218602,-84.82637514203836,30.37993935597965,800,180,365
100,-81.2545089439243,26.048033390133305,-81.14869776144171,26.143574583129134,351,141,180
