rank,name,establishment_means
species,Asemeia grandiflora,native
species,Vaccinium arboreum,native
species,Fregata magnificens,NA
species,Sesuvium portulacastrum,native
species,Guilandina bonduc,native
species,Nekemias arborea,native
species,Anas fulvigula,native
species,Aratus pisonii,NA
species,Crotalaria pallida,introduced
species,Estigmene acrea,NA
species,Micropterus salmoides,endemic
species,Linaria canadensis,native
species,Vireo griseus,native
species,Asclepias tuberosa,native
species,Setophaga discolor,native
species,Sinistrofulgur sinistrum,NA
species,Asclepias humistrata,native
species,Rhexia mariana,native
species,Ipomoea indica,native
species,Callinectes sapidus,NA
species,Sabatia stellaris,native
species,Ctenosaura similis,introduced
species,Sturnus vulgaris,introduced
species,Myrsine cubana,native
species,Laguncularia racemosa,native
species,Setophaga ruticilla,native
species,Lutjanus griseus,NA
species,Myllocerus undecimpustulatus,introduced
species,Mayaheros urophthalmus,introduced
species,Verbesina virginica,native
hybrid,Hibiscus × rosa-sinensis,NA
species,Hypericum hypericoides,native
species,Saururus cernuus,native
species,Oenothera laciniata,native
species,Senega nana,native
species,Crocodylus acutus,NA
species,Eriophora ravilla,native
species,Ximenia americana,native
species,Campsis radicans,native
species,Archilochus colubris,native
species,Solanum americanum,native
species,Crocothemis servilia,introduced
species,Taxodium ascendens,native
species,Ardisia escallonioides,native
species,Habenaria floribunda,native
species,Erythrodiplax berenice,NA
species,Plumbago auriculata,introduced
species,Kinosternon baurii,NA
species,Hyla femoralis,native
species,Hypercompe scribonia,NA
species,Thalasseus sandvicensis,NA
species,Athene cunicularia,native
species,Pilea microphylla,native
species,Nymphaea odorata,native
species,Dryas iulia,NA
species,Schistocerca americana,NA
species,Astur cooperii,native
species,Heptapleurum arboricola,introduced
species,Passiflora pallida,native
species,Nathalis iole,NA
species,Osmundastrum cinnamomeum,native
species,Tursiops truncatus,NA
species,Buteo jamaicensis,native
species,Triadica sebifera,introduced
species,Desarmillaria caespitosa,NA
species,Bacopa monnieri,native
species,Crotalaria spectabilis,introduced
species,Lagodon rhomboides,NA
species,Strymon melinus,NA
species,Eurytides marcellus,NA
species,Xylocopa virginica,native
species,Ischnura hastata,NA
species,Lyssomanes viridis,NA
species,Polypremum procumbens,native
species,Crotalus adamanteus,native
species,Lagerstroemia indica,introduced
species,Bulimulus bonariensis,introduced
species,Pseudomyrmex gracilis,introduced
species,Woodwardia virginica,native
species,Himantopus mexicanus,NA
species,Epipremnum aureum,introduced
species,Indigofera spicata,introduced
species,Piriqueta cistoides,native
species,Swietenia mahagoni,NA
species,Sphyrapicus varius,native
species,Argopecten gibbus,NA
species,Chortophaga australior,NA
species,Syngamia florella,NA
species,Yucca filamentosa,native
species,Sabatia grandiflora,native
species,Carphephorus odoratissimus,native
species,Setophaga dominica,native
species,Elephantopus elatus,native
species,Solidago chapmanii,endemic
species,Actitis macularius,native
species,Aix sponsa,native
species,Indigofera hirsuta,introduced
species,Houstonia procumbens,native
species,Thalia geniculata,native
species,Monarda punctata,native
species,Cyperus croceus,native
species,Euploca polyphylla,native
species,Sabatia brevifolia,native
species,Syngonanthus flavidulus,native
species,Leidyula floridana,NA
species,Libellula vibrans,NA
species,Calidris minutilla,NA
species,Pomacea maculata,introduced
species,Chromolaena odorata,native
species,Xylocopa micans,native
species,Melongena corona,NA
species,Panoquina ocola,NA
species,Phyciodes tharos,NA
species,Charadrius semipalmatus,NA
species,Calycopis cecrops,NA
species,Pelazoneuron kunthii,native
species,Crassostrea virginica,NA
species,Ipomoea alba,native
species,Ophisaurus ventralis,native
species,Liguus fasciatus,native
species,Persea palustris,native
species,Vittaria lineata,native
species,Erigeron canadensis,native
species,Chione elevata,NA
species,Leptuca pugilator,NA
species,Stachys floridana,native
species,Euthamia caroliniana,native
species,Hypericum tenuifolium,native
species,Neoconocephalus triops,NA
species,Euphoria sepulcralis,NA
species,Cirsium nuttallii,native
species,Sarracenia minor,native
species,Osmunda spectabilis,native
species,Tringa melanoleuca,NA
species,Tramea carolina,NA
species,Magnolia virginiana,native
hybrid,Anas platyrhynchos × fulvigula,NA
species,Passerculus sandwichensis,native
species,Haemorhous mexicanus,introduced
species,Crotalaria rotundifolia,native
species,Sterna forsteri,native
species,Tridax procumbens,introduced
species,Bubo virginianus,native
species,Diaprepes abbreviatus,introduced
species,Flaveria linearis,native
species,Ampelaster carolinianus,native
species,Chicobolus spinigerus,native
species,Orthemis ferruginea,NA
species,Camponotus planatus,introduced
species,Camphora officinarum,introduced
species,Nerodia taxispilota,NA
species,Lyonia ferruginea,native
species,Tradescantia spathacea,introduced
species,Pistia stratiotes,native
species,Trametes lactinea,NA
species,Dactyloctenium aegyptium,introduced
species,Hyptis alata,native
species,Stachytarpheta jamaicensis,native
species,Lithobates grylio,native
species,Porphyrio poliocephalus,introduced
species,Gordonia lasianthus,native
species,Anax junius,NA
species,Rubus cuneifolius,native
species,Phidippus regius,NA
species,Tillandsia balbisiana,native
species,Canis familiaris,introduced
species,Cordyline fruticosa,introduced
species,Seirarctia echo,NA
species,Turdus migratorius,native
species,Viburnum obovatum,native
species,Rostrhamus sociabilis,NA
species,Anaxyrus quercicus,NA
species,Lentinus crinitus,NA
species,Conoclinium coelestinum,native
species,Lachnanthes caroliana,native
species,Burnsius oileus,NA
species,Cecropterus dorantes,NA
species,Dinocardium robustum,NA
species,Calyptocarpus vialis,introduced
species,Chelydra serpentina,native
species,Kosteletzkya pentacarpos,native
species,Metopium toxiferum,native
species,Heptapleurum actinophyllum,introduced
species,Poecile carolinensis,native
species,Jatropha integerrima,introduced
species,Donax variabilis,NA
species,Ptilimnium capillaceum,native
species,Heliotropium angiospermum,native
species,Lontra canadensis,native
species,Rudbeckia hirta,native
species,Galactia elliottii,native
species,Dielis plumipes,NA
species,Gastrophryne carolinensis,native
species,Pipilo erythrophthalmus,native
species,Clusia rosea,native
species,Polistes major,NA
species,Hermeuptychia sosybius,NA
species,Cyperus ligularis,native
species,Polistes metricus,NA
species,Lophodytes cucullatus,native
species,Actias luna,NA
species,Samea castellalis,NA
species,Solidago mexicana,native
species,Oxalis corniculata,introduced
species,Acanthocephala declivis,NA
species,Sophora tomentosa,native
species,Delonix regia,introduced
species,Sisyrinchium angustifolium,native
species,Melothria pendula,native
species,Anatherum tenuispatheum,native
species,Lithobates catesbeianus,NA
species,Thamnophis sirtalis,native
species,Phoebis philea,NA
species,Oliva sayana,NA
species,Ipomoea cordatotriloba,native
species,Forestiera segregata,native
species,Psilotum nudum,native
species,Polistes dorsalis,NA
species,Carica papaya,native
species,Sida rhombifolia,introduced
species,Solidago fistulosa,native
species,Megalopyge opercularis,NA
species,Carya glabra,native
species,Lantana involucrata,native
species,Salvinia minima,introduced
species,Chamaecrista nictitans,native
species,Cupaniopsis anacardioides,introduced
species,Christella dentata,introduced
species,Larus fuscus,NA
species,Hypoxis juncea,native
species,Roystonea regia,native
species,Lobelia glandulosa,native
species,Ricinus communis,introduced
species,Cymaenes tripunctus,NA
species,Ilex opaca,native
species,Argia fumipennis,NA
species,Stilpnochlora couloniana,native
species,Acrolophus walsinghami,NA
species,Hypericum fasciculatum,native
species,Ipomoea sagittata,native
species,Ixora coccinea,introduced
species,Sus scrofa,introduced
species,Battus polydamas,NA
species,Quercus hemisphaerica,native
species,Dichondra carolinensis,native
species,Scaevola taccada,introduced
species,Eriobotrya japonica,introduced
species,Celtis laevigata,native
species,Seiurus aurocapilla,native
species,Sphyraena barracuda,NA
species,Portulaca oleracea,introduced
species,Oiketicus abbotii,NA
species,Eulophia maculata,introduced
species,Pycnoscelus surinamensis,introduced
species,Polites otho,NA
species,Aratinga nenday,introduced
species,Dasymutilla occidentalis,native
species,Dichromorpha viridis,NA
species,Tillandsia bartramii,native
species,Nerium oleander,introduced
species,Palafoxia feayi,endemic
species,Lilium catesbaei,native
species,Utricularia subulata,native
species,Euglandina rosea,native
species,Noetia ponderosa,NA
species,Crocanthemum corymbosum,native
species,Anasaitis canosus,NA
species,Ardisia elliptica,introduced
species,Iris savannarum,native
species,Melanthera nivea,native
species,Dasychira meridionalis,NA
species,Sturnella magna,NA
species,Eacles imperialis,NA
species,Ruellia blechum,introduced
species,Sarracenia flava,NA
species,Turnera ulmifolia,introduced
species,Cinctura hunteria,NA
species,Vanessa atalanta,NA
species,Megascops asio,native
species,Strategus antaeus,NA
species,Spermacoce remota,native
species,Lygodium japonicum,introduced
species,Sternula antillarum,native
species,Conradina canescens,NA
species,Garberia heterophylla,endemic
species,Mischocyttarus mexicanus,NA
species,Cardisoma guanhumi,NA
species,Lynx rufus,native
species,Iva imbricata,native
species,Abudefduf saxatilis,NA
species,Myrcianthes fragrans,native
species,Sciurus niger,native
species,Stillingia sylvatica,native
species,Bidens mitis,native
species,Hydrocotyle umbellata,native
species,Bulimulus guadalupensis,NA
species,Cassytha filiformis,native
species,Plestiodon laticeps,native
species,Leptoglossus phyllopus,NA
species,Leucobryum albidum,native
species,Mangifera indica,introduced
species,Empyreuma pugione,NA
species,Euphorbia hirta,introduced
species,Marpesia petreus,NA
species,Syngonium podophyllum,introduced
species,Aythya affinis,NA
species,Nerodia floridana,NA
species,Melanerpes erythrocephalus,native
species,Psychotria tenuifolia,native
species,Odontotaenius disjunctus,NA
species,Canavalia rosea,native
species,Ganoderma curtisii,NA
species,Asclepias lanceolata,native
species,Eurema lisa,NA
species,Pinguicula pumila,native
species,Larus smithsonianus,NA
species,Hydrocotyle bonariensis,native
species,Calidris alpina,NA
species,Imperata cylindrica,introduced
species,Enyo lugubris,NA
species,Viola vittata,native
species,Cladium mariscus,native
species,Junonia neildi,NA
species,Progne subis,native
species,Anatrytone logan,NA
species,Persea borbonia,native
species,Poecilia latipinna,NA
species,Distimake dissectus,native
species,Thaumatophyllum bipinnatifidum,introduced
species,Crinum asiaticum,introduced
species,Battus philenor,NA
species,Scaphiopus holbrookii,NA
species,Lygodium microphyllum,introduced
species,Marasmius vagus,NA
species,Caracara plancus,NA
species,Calopteryx maculata,NA
species,Oligoria maculata,NA
species,Eurycotis floridana,native
species,Dalbergia ecastaphyllum,native
species,Berlandiera subacaulis,endemic
species,Colocasia esculenta,introduced
species,Zeuxine strateumatica,introduced
species,Lycium carolinianum,NA
species,Gonatista grisea,native
species,Medicago lupulina,introduced
species,Pachodynerus erynnis,NA
species,Eulophia graminea,introduced
species,Eugenia uniflora,introduced
species,Chiococca alba,native
species,Trametes sanguinea,NA
species,Geranium carolinianum,native
species,Clathrus columnatus,NA
species,Pyrausta tyralis,NA
species,Tigrosa annexa,NA
species,Nephrolepis exaltata,native
species,Phocides batabano,NA
species,Yucca aloifolia,native
species,Libellula auripennis,NA
species,Malacosoma disstria,NA
species,Ariopsis felis,NA
species,Ischnura posita,NA
species,Octoblepharum albidum,native
species,Pentas lanceolata,introduced
species,Liatris gracilis,native
species,Trifolium repens,introduced
species,Pteridium caudatum,native
species,Sarracenia leucophylla,NA
species,Eriogonum tomentosum,NA
species,Euphorbia hyssopifolia,native
species,Setaria parviflora,native
species,Fraxinus caroliniana,native
species,Emerita talpoida,NA
species,Coccoloba diversifolia,native
species,Jadera haematoloma,NA
species,Asimina obovata,endemic
species,Sargassum fluitans,NA
species,Solanum diphyllum,introduced
species,Vaccinium stamineum,native
species,Prosapia bicincta,NA
species,Phyllanthus urinaria,introduced
species,Eumorpha fasciatus,NA
species,Megalops atlanticus,NA
species,Baccharis glomeruliflora,native
species,Aythya collaris,native
species,Casuarina equisetifolia,introduced
species,Eustachys petraea,native
species,Pyrrhopappus carolinianus,native
species,Prunus serotina,native
species,Boehmeria cylindrica,native
species,Vernonia gigantea,native
species,Herpetogramma phaeopteralis,NA
species,Haematopus palliatus,NA
species,Zanthoxylum clava-herculis,native
species,Lymire edwardsii,NA
species,Woodwardia areolata,native
species,Melinis repens,introduced
species,Hemidactylus turcicus,introduced
species,Archosargus probatocephalus,NA
species,Campyloneurum phyllitidis,native
species,Diodia virginiana,native
species,Lepomis punctatus,NA
species,Setophaga caerulescens,native
species,Phanaeus vindex,NA
species,Latrodectus geometricus,introduced
species,Tyrannus dominicensis,native
species,Piranga rubra,native
species,Euphorbia hypericifolia,native
species,Branta canadensis,native
species,Lythrum alatum,native
species,Hyptis mutabilis,introduced
species,Canis latrans,NA
species,Zamia furfuracea,introduced
species,Lantana camara,introduced
species,Quercus minima,native
species,Stenotaphrum secundatum,native
species,Parietaria floridana,native
species,Drymaria cordata,introduced
species,Fuligo septica,NA
species,Sceliphron caementarium,NA
species,Arenaeus cribrarius,NA
species,Mugil cephalus,NA
species,Quercus chapmanii,native
species,Lerema accius,NA
species,Podocarpus macrophyllus,introduced
species,Richardia scabra,NA
species,Cycloneda sanguinea,NA
species,Burnsius albezens,native
species,Indotyphlops braminus,introduced
species,Alaus oculatus,NA
species,Lytechinus variegatus,NA
species,Gratiola hispida,native
species,Dysdercus suturellus,NA
species,Spiranthes vernalis,native
species,Leucocoprinus birnbaumii,NA
species,Argia sedula,NA
species,Randia aculeata,native
species,Cyperus polystachyos,native
species,Pomacea paludosa,NA
species,Trigonopeltastes delta,NA
species,Limnodromus griseus,NA
species,Chauliognathus marginatus,native
species,Physalis walteri,native
species,Smilax pumila,native
species,Scoparia dulcis,native
species,Heteropoda venatoria,introduced
species,Hibiscus coccineus,native
species,Circus hudsonius,NA
species,Centella erecta,native
species,Platanus occidentalis,native
species,Cemophora coccinea,NA
species,Crepidula fornicata,NA
species,Helianthus angustifolius,native
species,Buteo brachyurus,NA
species,Alternanthera philoxeroides,introduced
species,Polygonella polygama,native
species,Paederia foetida,introduced
species,Cladonia leporina,NA
species,Setophaga tigrina,native
species,Myiopsitta monachus,introduced
species,Chilomycterus schoepfii,NA
species,Stomolophus meleagris,NA
species,Asclepias pedicellata,native
species,Pteris vittata,introduced
species,Eriocaulon decangulare,native
species,Dolomedes triton,NA
species,Vicia acutifolia,native
species,Eurema nicippe,NA
species,Tribulus cistoides,introduced
species,Callistethus marginatus,NA
species,Mitchella repens,native
species,Zanthoxylum fagara,native
species,Eustoma exaltatum,native
species,Centropomus undecimalis,NA
species,Euglossa dilemma,introduced
species,Clibanarius vittatus,NA
species,Aletris lutea,native
species,Asimina angustifolia,native
species,Itea virginica,native
species,Polygonella robusta,endemic
species,Grallipeza nebulosa,NA
species,Hyphantria cunea,NA
species,Cycas revoluta,introduced
species,Chelonia mydas,NA
species,Vaccinium darrowii,native
species,Acacia auriculiformis,introduced
species,Argiope argentata,NA
species,Glycymeris spectralis,NA
species,Mergus serrator,native
species,Periplaneta americana,introduced
species,Ursus americanus,NA
species,Malacosoma americana,NA
species,Scolia nobilitata,NA
species,Epidendrum conopseum,native
species,Solanum viarum,introduced
species,Vespula squamosa,NA
species,Vachellia farnesiana,native
species,Usnea strigosa,NA
species,Russelia equisetiformis,introduced
species,Cyclosorus interruptus,native
species,Neoscapteriscus vicinus,introduced
species,Phyllanthus tenellus,introduced
species,Albizia julibrissin,introduced
species,Coryphaeschna ingens,NA
species,Batis maritima,native
species,Tradescantia pallida,introduced
species,Elophila obliteralis,NA
species,Melilotus albus,introduced
species,Eupatorium compositifolium,native
species,Schistocerca serialis,NA
species,Corthylio calendula,native
species,Atrina rigida,NA
species,Favolus brasiliensis,NA
species,Lonicera sempervirens,native
species,Libellula axilena,NA
species,Gomphrena serrata,introduced
species,Grona triflora,introduced
species,Zenaida asiatica,introduced
species,Clathrus crispus,NA
species,Samea multiplicalis,NA
species,Molothrus ater,native
species,Ipomoea hederifolia,native
species,Utricularia foliosa,native
species,Eugenia axillaris,native
species,Bradybaena similaris,introduced
species,Chalcophora virginiensis,NA
species,Oreochromis aureus,introduced
species,Polistes exclamans,NA
species,Ipomoea imperati,native
species,Iresine diffusa,native
species,Gamochaeta pensylvanica,introduced
species,Cicuta maculata,native
species,Polistes bellicosus,NA
species,Muhlenbergia capillaris,native
species,Duranta erecta,NA
species,Ageratum houstonianum,introduced
species,Pinguicula lutea,native
species,Helenium pinnatifidum,native
species,Antrostomus carolinensis,native
species,Penstemon multiflorus,native
species,Hirundo rustica,native
species,Suriana maritima,native
species,Ameiva ameiva,introduced
species,Callisia ornata,endemic
species,Eupatorium mohrii,native
species,Achurum carinatum,NA
species,Opuntia stricta,native
species,Thesprotia graminis,NA
species,Gallinago delicata,NA
species,Pluchea carolinensis,NA
species,Eclipta prostrata,native
species,Neoscona domiciliorum,NA
species,Koelreuteria elegans,introduced
species,Vireo olivaceus,native
species,Ludwigia maritima,native
species,Syagrus romanzoffiana,introduced
species,Cordia sebestena,NA
species,Cryptothecia striata,NA
species,Melaleuca quinquenervia,introduced
species,Acanthocephala femorata,NA
species,Palpada vinetorum,NA
species,Ormenaria rufifascia,NA
species,Ipomoea pandurata,native
species,Phoenicopterus ruber,NA
species,Dielis trifasciata,NA
species,Fortiblatta australasiae,introduced
species,Spharagemon marmoratum,native
species,Bougainvillea glabra,introduced
species,Schistocerca obscura,NA
species,Argemone mexicana,native
species,Tournefortia gnaphalodes,native
species,Morus rubra,native
species,Phlox drummondii,NA
species,Teucrium canadense,native
species,Vanessa virginiensis,NA
species,Rhododendron indicum,introduced
species,Anarhynchus wilsonia,NA
species,Asparagus densiflorus,introduced
species,Piscidia piscipula,native
species,Libellula incesta,NA
species,Asparagus aethiopicus,introduced
species,Anomia simplex,NA
species,Sigmodon hispidus,NA
species,Vaccinium fuscatum,native
species,Portulaca amilis,introduced
species,Calephelis virginiensis,NA
species,Mocis latipes,NA
species,Parasola plicatilis,NA
species,Packera glabella,native
species,Cyperus surinamensis,native
species,Sagittaria graminea,native
species,Bidens laevis,native
species,Tiedemannia filiformis,native
species,Aesculus pavia,NA
